Job No.,Project Name,Address,Permit,Contractor,Cell Phone,Project Manager,
18-0685,6 Unit Townhomes Shoreline,"1117 N 199th St, Shoreline",MFR17-0781,AIM Construction and Devel,(425) 421-1885,Jeff,
18-0932,600 East Howell Street,"600 East Howell Street, Seattle",6584375-CN,Ryatt Construction,,Isaac,
19-0041,6725 Mary Avenue NW,"6725 Mary Avenue NW, Seattle",6597678,Turnkey Builders,206-353-1361,Jeff,
18-0994,6731 Mary Avenue NW,"6731 Mary Avenue NW, Seattle",6621031,Turnkey Builders,206-353-1361,Jeff,
18-0972,6732 15th Avenue NW,"6732 15th Ave NW, Seattle",6596140,Turnkey Builders,(206) 353-1361,Jeff,
18-1089,6747 15th Avenue NW Townhouse,"6747 15th Avenue Northwest, Seattle",6615840,Ace Construction Services,(253) 219-5095,Jeff,
18-1054,6th & Holgate Seismic Retrofit,"1950 6th Ave S, Seattle",6625867-CN,"Precision Builders, Inc.",(206) 396-1527,Isaac,
18-0416,6th Street Signal Projects,"6th St & 9th St and 9th St & Kirkland Way, Kirk",,"Johansen Excavating, Inc.",,Anthony,
12-0157,700 Dexter Avenue N Shoring,"700 Dexter Avenue N, Seattle",DPD:6319277 / S,,,Anthony,
19-0073,701 Apartments,"701 16th Ave, Seattle",6554864-CN,Rush Commercial Construct,,Walter,
18-0600,7020 View Ridge Residence,"7020 54th Avenue NE, Seattle",6630108,"Approach Build, LLC",(425) 478-1245,Isaac,
18-0549,8256 Residence,"8256 Northrop Place SW, Seattle",6595380,JMS Homes,(206) 949-5027,Isaac,
19-0055,8260 Residence,"8260 Northrop Place, Seattle",6595364,JMS Homes,(206) 949-5027,Isaac,
17-0513,8559 Mary Avenue NW Project,"8559 Mary Avenue NW, Seattle",6486960,Sensa Homes,(626) 716-2550,Isaac,
18-0752,906 North 46th Street,"906 N 46th St, Seattle",6593274-CN,"Domus Homes, LLC",(206) 235-6783,Isaac,
18-0956,920 Broadway,"920 Broadway, Seattle",6593595,"Shelter Homes, LLC",(206) 401-4301,Jeff,
17-0699,928 NW Leary Way Mixed-Use Building,"928 NW Leary Way, Seattle",6555893,"Fuller Anderson Co., Inc.",(206) 730-7392,Walter,
18-0907,9514 8th Avenue NW,"9514 8th Avenue NW, Seattle",6652548,MRJ Constructors,(206) 499-1009,Walter,
18-0981,Aamodt Residence,"6028 38th Ave NE, Seattle",6593603,JC Mac Construction,(425) 246-5130,Jeff,
19-0085,ACD Building C,"10007 234th Avenue East, Bonney Lake",BLD-2018-08624,Auburn Commercial Develo,(253) 261-8832,Walter,
18-0476,ACD Building D,"9900 234th Avenue, Bonney Lake",8113,Auburn Commercial Develo,(253) 261-8832,Walter,
18-1048,Adams Residence Remodel,"16422 SE 17th Street, Bellevue",18-112340 BR,Noble Ridge Construction,(206) 686-1841,Isaac,
18-0661,AGC Biologics,"2210 220th Street SE, Bothell",BNR2018-19301,"BN Builders, Inc.",(206) 300-0299,Isaac,
19-0007,AGC of Washington 2nd Floor Infill,"1200 Westlake Avenue N, Seattle",6688865,"Pulcon, Inc.",(206) 851-2254,Isaac,
18-0295,Airport Dining & Retail Infrastructure Modific,"Central Terminal, SeaTac International Airport,",17 10539,Osborne Construction Com,(425) 553-5347,Isaac,
18-0295a,Airport Dining & Retail Infrastructure Modific,"Central Terminal, SeaTac International Airport,",17-10540,Osborne Construction Com,(425) 736-9319,Isaac,
18-0843,Alan Dishlip Residence,"1944 NW Blue Ridge Drive, Seattle",6621080-CN,"McDowell NW Pile King, Inc",(206) 386-1026,Isaac,
18-0209,Alberta J Canada Bldg,"1114 South 11th Street, Tacoma",BLD CA17-0252,"CDK Construction Services,",,Jeff,
18-0777,Alki Capital,"6504 SW Stevens St, Seattle",6610950,Chieftain LLC,(206) 261-3527,Isaac,
17-0241,Allegre Villa - Hillside to the South,"207 E. Walnut Street, Winlock",,,,Scott,
18-0494,Amazon Brazil SEA 53 (Block 45),"400 9th Avenue N, Seattle",(pending),"Hermanson Company, LLP",(425) 466-1119,Jeff,
17-0617,Amtrak KSCY Locomotive Facility,"187 S. Holgate Street, Seattle",N/A,"PCL Construction Services,",,Walter,
18-0943,Anderson Residence Foundation Repair,"5042 29th Avenue South, Seattle",,,,Scott,
18-0920,Anthropoligie Store,"2520 NE University Village St, Suite 120, Seatt",,Action Special Inspections,(503) 381-6329,Jeff,
17-0546,Assisted Living,"5214 42nd Avenue South, Seattle",6547394,"Marpac Construction, LLC",(206) 890-8737,Isaac,
18-0432,Auto Nation Carwash & Auto Detail Facility (,"2221 120th Ave NE, Bellevue",17 107594 BM,"Foushee and Associates, In",(425) 417-5238,Walter,
18-0184,Auto Nation Mercedes-Benz of Bellevue - H,"11850 Bel-Red Road, Bellevue",,,(805) 665-7194,Isaac,
18-0950,Automated Equipment Co. Crane Brackets,"10828 East Marginal Way South, Tukwila",D18-0260,Automated Gates & Equipm,(206) 767-9080,Isaac,
18-0962,Azalea Residence,"143 7th Ave, Kirkland",BSF16-01327,"Build Urban, LLC",(206) 719-6239,Isaac,
18-0385,B-26 Renovation Health and Life Sciences,"2400 S. 240th Street, Des Moines",BLD2017-0383,"Pease Construction, Inc.",,Jeff,
17-0944,Ballard 8,"1436 NW 60th Street, Seattle",6581975,"Dacoda Homes, Inc.",(206) 777-5892,Jeff,
17-0671,Ballinger Heated Storage,"20029 19th Avenue NE, Shoreline",COM17-0037,"JPR Construction, Inc.",(425) 343-7157,Walter,
18-0695,Bamford Residence,"6400 60th Place South, Seattle",6604399,Dovetail General Contractor,206-551-2169,Isaac,
18-0244,Baty Residence,"6435 NE Windermere Road, Seattle",6574420,Joseph McKinstry Construct,,Jeff,
18-0479,Bear Creek Apartments,"15810 Bear Creek Parkway, Redmond",BLDG-2017-0092,Fairfield Development L.P.,(206) 370-2796,Walter,
18-0963,Begonia Residence,"139 7th Ave, Kirkland",BSF16-01328,"Build Urban, LLC",(206) 719-6239,Isaac,
17-0202b,Bellevue 3 - Lot 1,"10333 10th Street SE, Bellevue",16141221-BS,"RM Homes, LLC",(425) 491-1354,Walter,
17-0202a,Bellevue 3 - Lot 3,"1013 104th Avenue SE, Bellevue",,"RM Homes, LLC",(253) 486-8622,Walter,
18-0199,Bellevue 8 - East,"10720 SE 2nd Street, Bellevue",16-126508 BB,Envision Northwest,(541) 706-1527,Jeff,
17-0979,Bellevue BMW,"11959 Northup Way, Bellevue",17-110859 BB,"Foushee and Associates, In",(425) 417-5238,Jeff,
17-0979a,Bellevue BMW – Braced Frames TI,"11959 Northup Way, Bellevue",18-102931 BZ,"Foushee and Associates, In",(425) 417-5238,Jeff,
18-1002,Bennett Residence Addition,"166 NW 60th St, Seattle",6666037-CN,STS Construction Services,(206) 707-6734,Isaac,
18-0817,Bertch Residence,"1027 14th Place West, Kirkland",BSF18-02669,"DLH, Inc.",(425) 214-2402,Jeff,
18-1041,Big Rock Industries Misc. 2018,"17391 Tye ST SE, Monroe",,,(360) 794-2102,Isaac,
18-0584,Birk Residence,"5171 S. Spencer St., Seattle",6600589,"Remodel Pros, LLC",(253) 263-0049,Jeff,
19-0032,Black Rooster Restaurant T.I.,"1083 Lk Washington Blvd N, #50, Renton",BL8000369,,,Walter,
16-0866,Block 11 - Structural,"1255 Harrison Street, Seattle",6450010,"Exxel Pacific, Inc.",253-359-6218,Jeff,
17-0064,Block 25 - All buildings/phases,"Fairview Avenue/Boren Avenue, Seattle",,"GLY Construction, Inc.",,Jeff,
17-0064c,Block 25E - Structural,"609 Fairview Avenue North, Seattle",6471434,"GLY Construction, Inc.",(425) 765-0283,Jeff,
18-0428a,"Block 25E TI - levels 1, 1.5, 6 Tenant Impro","630 Boren Avenue, Seattle",6552571,"GLY Construction, Inc.",,Jeff,
18-0428,Block 25E TI - levels 3-6 Alterations and Sta,"630 Boren Avenue North, Seattle",6620209,"GLY Construction, Inc.",,Jeff,
17-0064d,Block 25W - Structural,"630 Boren Avenue North, Seattle",6528917,"GLY Construction, Inc.",(425) 998-3879,Jeff,
18-0427,Block 25W TI - Google Level 2-6,"630 Boren Avenue North, Seattle",6643847,"GLY Construction, Inc.",,Jeff,
18-0427a,Block 25W TI - Lecture Room at level 1,"630 Boren Avenue North, Seattle",6552573,"GLY Construction, Inc.",,Jeff,
17-0068a,Block 31 - Structural,"625 Boren Avenue North, Seattle",6528924,"GLY Construction, Inc.",(425) 998-3879,Jeff,
18-0511a,Block 31 TI - Google Tenant Improvements,"630 Boren Avenue North, Seattle",6613341,"GLY Construction, Inc.",,Jeff,
18-0511,Block 31 TI - Levels 1-5 Alterations & Stairs,"630 Boren Avenue North, Seattle",6620212-CN,"GLY Construction, Inc.",,Jeff,
17-0217,Block 47,"910 John Street, Seattle",6462238,WG Clark Construction Co,(206) 255-7038,Jeff,
16-0867a,Block 52 West - Structural,"300 8th Avenue North, Seattle",6355538,"Lease Crutcher Lewis, Inc.",,Jeff,
18-1060,BNSF Connell Bridge Structural Evaluation,"BNSF Bridge LS46 MP 104.5, Connell",,,(206) 588-8124,Jeff,
18-0853,Boeing - Airplane Stall Expansion A6,"6505 Perimeter Road South, Seattle",,Gary Merlino Construction,(206) 255-2623,Walter,
14-0481,Boeing - Bldg. 17-06 - Install High Speed Sp,"Bldg. 17-06, Auburn",ALT14-0040,"Lease Crutcher Lewis, Inc.",(206) 660-8538,Walter,
18-0868,Boeing - Bldg. 17-06 Laser Ablation,"Building 17-06, Column C-D/2-3, Auburn",TEN18-0066,Omega Industrial Contractor,(425) 736-1131,Walter,
18-0995,Boeing - Bldg. 17-06 Rinse Tank,"Bldg 17-06, Auburn",,Auburn Mechanical,(206) 730-4964,Walter,
16-0637,Boeing - Bldg. 17-06 Spar Check Fixtures -,"Bldg. 17-06, Auburn",,Clements General Construc,,Walter,
16-0009,Boeing - Bldg. 17-07 Dual Gantry Foundatio,"Bldg. 17-07, Auburn",,Advanced Technology Cons,(360) 515-6206,Walter,
17-0998,Boeing - Bldg. 17-07 Install Generator,"Bldg. 17-07, Auburn",,Clements General Construc,,Walter,
18-1019,Boeing - Bldg. 17-08 E-Coat Process Tank,"Bldg. 17-08, Auburn",,Clements General Construc,(206) 391-7671,Walter,
18-1039,Boeing - Bldg. 17-08 Install Safety Cells,"Building 17-08, Columns F-K/1-7, Auburn",TEN18-0227,Applied Manufacturing Tech,(810) 955-1540,Walter,
18-0992,Boeing - Bldg. 17-08 Robot Relocation,"Bldg. 17-08, Auburn",,Clements General Construc,(206) 255-1034,Walter,
19-0004,Boeing - Bldg. 17-10 Detrex Clean Line Rep,"Bldg. 17-10, Auburn",,,206-255-7486,Walter,
19-0048,Boeing - Bldg. 17-10 EO Robotic Deburr Inst,"Bldg. 17-10, Auburn",,,,Walter,
18-0946,Boeing - Bldg. 17-10 Install Four Walter Gri,"Bldg. 17-10, Auburn",,Omega General Contractors,(425)736-1131,Walter,
16-0688,Boeing - Bldg. 17-10 Replace Coating Cham,"Bldg. 17-10 Col. A-B/5-6, Auburn",,,,Walter,
19-0088,Boeing - Bldg. 17-10 Temporary Robot Insta,"Building 17-10, Auburn",,,,Walter,
18-0947,Boeing - Bldg. 17-12 PSCC / Moonshine Ph,"Bldg. 17-12, Auburn",,Omega Riggers & Erectors,206-255-7486,Walter,
18-0538,Boeing - Bldg. 17-45 BAM,"Bldg. 17-45, Auburn",TEN18-0174 TEN,"Dahlgren Industrial, Inc.",(206) 437-0406,Walter,
18-1009,Boeing - Bldg. 17-45 IAS LMS Work Cell,"Bldg. 17-45, Auburn",TEN18-0143,Clements General Construc,(206) 391-7671,Walter,
18-1020,Boeing - Bldg. 17-45 Labs,"Bldg. 17-45, Auburn",N/A,Omega Riggers & Erectors,(206) 255-2507,Walter,
18-1082,Boeing - Bldg. 17-45 Penetrant Booth Fall P,"Building 17-45, Auburn",(pending),Clements General Construc,(206) 793-5326,Walter,
18-0998,Boeing - Bldg. 17-45 Rack Inspection,"Bldg. 17-45, Door 12, Auburn",TEN18-0187,,,Walter,
18-1091,Boeing - Bldg. 17-62 Relocate H51 AC Pack,"Building 17-62, Auburn",,"Dahlgren Industrial, Inc.",(206) 423-9084,Walter,
18-0980,Boeing - Bldg. 17-62 Replace Tubing Bende,"Bldg. 17-62, Auburn",,Clements General Construc,(206) 391-7671,Walter,
19-0035,Boeing - Bldg. 17-66 RMD Solvent Bottling,"Building 17-66, Auburn",n/a,,,Walter,
18-1088,Boeing - Bldg. 17-68 Laser Fume Extractor,"Bldg. 17-45, Auburn",n/a,Omega Riggers & Erectors,(360) 790-6702,Walter,
18-0106,Boeing - Bldg. 17-88 ORC,"Bldg. 17-88 (S. end of Boeing), Auburn",BLD17-0256,"Lease Crutcher Lewis, Inc.",,Walter,
18-1027,Boeing - Bldg. 2-088 Install Mazak HCN 108,"8123 East Marginal Way South, Tukwila",D18-0319,Washington Patriot Constru,(253) 549-3680,Walter,
18-1031,Boeing - Bldg. 2-25 Plant 2 Replace Chiller,"Building 2-25, Tukwila",,,253-229-6077,Walter,
18-1066,Boeing - Bldg. 24-50A Remove Utility Supp,"Building 24-50A, Fredrickson",900412,Schuchart Corporation,,Walter,
18-0350,Boeing - Bldg. 24-60 Makino T-Chord Mill C,"Bldg. 24-60, Frederickson",881546,"Lease Crutcher Lewis, Inc.",(253) 255-5284,Walter,
19-0069,Boeing - Bldg. 24-60 Utilities & Foundation-,"Bldg. 24-60, Frederickson",,Clements General Construc,(206) 7934260,Walter,
18-0975,Boeing - Bldg. 24-60 VPAL Racks,"Building 24-60, Frederickson",,Clements General Construc,,Walter,
18-0985,Boeing - Bldg. 40-02 Runway End Beam,"Building 40-02, Wing Spar 2B Cranes, Everett",,General Construction Comp,,Walter,
18-0497,Boeing - Bldg. 40-04 / 40-41 Compressed Ai,"Building 40-04, Everett",,IMCO General Construction,360-410-8035/360,Walter,
19-0087,Boeing - Bldg. 40-22 Everett Site HVAC Re,"Building 40-22, Everett",n/a,Schuchart Corporation,,Walter,
18-0213,Boeing - Bldg. 40-22 LRA Relocation FAMB,"Bldg 40-22, Everett",,General Construction,(425) 330-3117,Walter,
18-0773,Boeing - Bldg. 40-23 Compressor-Drier Proj,"Building 40-23, Everett",,General Construction Comp,,Walter,
18-1057,Boeing - Bldg. 40-25 Doorway Canopy Supp,"Building 40-25, Everett",,General Construction Comp,(360) 815-2387,Walter,
18-0923,Boeing - Bldg. 40-25 Emergency Repair,"Bldg. 40-25, Everett",,General Construction,,Walter,
18-0197,Boeing - Bldg. 40-25 Final Body Join (FBJ),"Bldg. 40-25, Everett",,General Construction Comp,(360) 815-2387,Walter,
18-0084,Boeing - Bldg. 40-25 FT – 777 Wing Body J,"Bldg. 40-025, Everett",,General Construction Comp,(360) 815-2387,Walter,
18-0873,Boeing - Bldg. 40-25 FT 777x SI Guide Mod,"40-25, Everett",,General Construction Comp,,Walter,
18-0445,Boeing - Bldg. 40-25 FT Wing Body Join (M,"Bldg. 40-25, Everett",,General Construction Comp,(360) 815-2387,Walter,
19-0005,Boeing - Bldg. 40-25 Mobile Containment S,"Building 40-25, Everett",,University Mechanical Contr,(206) 556-5020,Walter,
18-0809,Boeing - Bldg. 40-25 Wing Body Join Temp,"Building 40-25, Everett",,General Construction Comp,,Walter,
18-1074,Boeing - Bldg. 40-31 Water Heater Replace,"Building 40-31, Everett",,Greenberry Industrial,(360) 739-8262,Walter,
17-0242,Boeing - Bldg. 40-35 Factory Transformatio,"Bldg. 40-35, Everett",B1703-044 & B16,General Construction Comp,425-314-2726,Walter,
18-0860,Boeing - Bldg. 40-37 Paint Cell SSG Sump,"Bldg. 40-37, Everett",,Washington Patriot Constru,,Walter,
18-0027,Boeing - Bldg. 40-41 777x Fatigue Structure,"Bldg. 40-41, Everett",B1712-026,Skanska USA Commercial,(206) 799-7710,Walter,
19-0053,Boeing - Bldg. 40-56 Flange Weld Repair,"Building 40-56, CV-A-5, Everett",,University Mechanical Contr,(206) 255-4969,Walter,
18-1058,Boeing - Bldg. 40-56 Pressure Piping,"Building 40-56, Column H-J/.5-1, Everett",,University Mechanical Contr,(206)255-4969,Walter,
18-1047,Boeing - Bldg. 40-56 Sunken Manhole Repai,"Bldg. 40-56, Everett",,IMCO General Construction,,Walter,
14-0520,Boeing - Bldg. 40-58 777 Site Prep,"Bldg. 40-58, Everett",PW 1405-038 (sit,Hoffman Construction Com,,Walter,
16-0622,Boeing - Bldg. 40-58 777X Hydronic Heating,"Bldg. 40-58, Everett",,,,Walter,
18-0666,Boeing - Bldg. 40-58 Autoclave Phase 2,"Bldg. 40-58, Everett",,Hoffman Construction Com,,Walter,
18-1024,Boeing - Bldg. 40-58 Crane Rail Hangar Bolt,"Building 40-58 PCA Side, See Gridlines Below,",,,(503) 572-6863,Walter,
18-1075,Boeing - Bldg. 40-58 HPS & PC Isolation Va,"Building 40-58 Tunnel, Everett",,Greenberry Industrial,(360) 739-8262,Walter,
18-0460,Boeing - Bldg. 40-58 PFL Spar Lamination,"Bldg. 40-58, Everett",,Hoffman Construction,,Walter,
18-0832,Boeing - Bldg. 40-58 PGF Stringer Radius F,"Bldg. 40-58, Everett",,Hoffman Construction Com,,Walter,
18-0561,Boeing - Bldg. 40-58 PGO Stringer Hand/Bl,"Bldg. 40-58, Everett",,Hoffman Construction Com,,Walter,
18-1072,Boeing - Bldg. 40-58 PHB Stringer Bond Ass,"Building 40-58, Everett",,M. Torres America,,Walter,
18-0665,Boeing - Bldg. 40-58 PHL Skin/Panel Lamin,"Bldg. 40-58 (Cells 3 & 4), Everett",,Hoffman Construction Com,,Walter,
17-0696,Boeing - Bldg. 40-58 PHP-2 Panel Paint Ph,"Bldg. 40-58, Everett",,Hoffman Construction Com,,Walter,
15-0676,Boeing - Bldg. 40-58 PHT Panel Trim and D,"Bldg. 40-58, Everett",B1406-038,Hoffman Construction Com,,Walter,
17-0137,Boeing - Bldg. 40-58 PHX Panel Repair,"Bldg. 40-58, Everett",,,,Walter,
19-0075,Boeing - Bldg. 40-58 Seismic Floor Scan,"Bldg. 40-58, Everett",,M. Torres America,,Walter,
18-0895,Boeing - Bldg. 40-58 Stringer AFP Laminati,"Bldg. 40-58, Everett",,Hoffman Construction Com,,Walter,
18-0440,Boeing - Bldg. 45-01 Crane Stacker #10,"Building 45-01, Everett",n/a,Skanska USA Commercial,206-328-9235,Walter,
18-0852,Boeing - Bldg. 45-01 Low Bay Crane Stacke,"see comments, Everett",,Deshazo,205-664-2006,Isaac,
18-0969,Boeing - Bldg. 45-03 Paint Hangar Modificat,"Bldg. 45-03, Everett",,Skanska USA Commercial,(206) 553-9440,Walter,
18-0571,Boeing - Bldg. 45-03 Paint Hangar Process,"Bldg. 45-03, Everett",,Skanska USA Commercial,(206) 348-6833,Walter,
19-0056,Boeing - Bldg. 45-03 Paint Hangar Solvent,"Bldg. 45-03, Everett",,University Mechanical Contr,(425) 293-3137,Walter,
18-0572,Boeing - Bldg. 45-03 Paint Hangar Wing & T,"Bldg 45-03, Everett",,Skanska USA Commercial,(206) 348-6833,Walter,
18-0498,Boeing - Bldg. 45-08 WWTP,"Building 45-08, Everett",,IMCO General Construction,(360)410-8035,Walter,
18-0451,Boeing - Bldg. 45-334 Compressed Air Upgr,"Bldg. 45-334, Everett",,General Construction Comp,(425) 321-6478,Walter,
18-0545,Boeing - Bldg. 45-51 Emergency Generator,"Building 45-51, Everett",M1806-051,,,Walter,
18-0761,Boeing - Bldg. 9-101 ADC Thermoplastic Pr,"Building 9-101, Tukwila",D18-0215,"BN Builders, Inc.",(206) 492-4785,Walter,
19-0052,Boeing - Emergency Repair (Fire Line Rupt,"Between Bldgs. 40-11 and 40-01, Everett",,,,Walter,
18-1077,Boeing - Everett West Parking Access 526 I,"Hwy 526 Parking, Everett",,Gary Merlino Construction,(206) 755-2987,Walter,
17-0945,Boeing - Site Industrial Waste,"Bldg. 40-58 Tank Room to Bldg. 40-33, Everett",n/a,Greenberry Industrial,(409) 293-8496,Walter,
17-0363,Boeing - Tool #TMR130201 4ME140T0001,"Bldg. 40-22, Everett",,Boeing Everett Tool Depart,(425) 210-9961,Walter,
18-0137,Boeing - Tool #TMR132573 11ME110W166,"Bldg. 40-35 L 11.5, Everett",,Boeing Everett Tool Depart,(425) 791-4867,Walter,
18-0177,Boeing - Tool #TMR132762 PME284W7001,"Bldg. 40-53 Column F8.5, Everett",,Boeing Everett Tool Depart,(425) 309-1989,Walter,
18-0192,Boeing - Tool #TMR132779 PME284W7003,"Bldg. 40-53, Col F8.5, Everett",,Boeing Everett Tool Depart,(425) 309-1989,Walter,
18-0997,Boeing - Tool #TMR135044 31ME140W000,"Bldg. 40-25, Everett",,Boeing Everett Tool Depart,(425) 791-4867,Walter,
18-1035,Boeing - Tool #TMR135046 5ME#110W166,"Bldg. 40-25 Column L10, Everett",,Boeing Everett Tool Depart,(425) 791-4867,Walter,
18-1069,Boeing - Tool #TMR135317 6ME110W1660,"Bldg. 40-25, col L10, Everett",,Boeing Everett Tool Depart,(425) 791-4867,Walter,
18-1068,Boeing - Tool #TMR135340 2FME112W490,"Building 40-58, CCA Side, PGO Cell, Everett",,,(425) 314-4536,Walter,
18-1007,Boyer Garage 1,"2128 E Interlaken Blvd, Seattle",6545083,"Hoffman Building, LLC",(206) 393-7579,Jeff,
19-0003,Brannon Residence,"2114 Dexter Avenue North, Seattle",6692812,"Winchester Construction, In",(206) 491-1385,Jeff,
18-0899,Bridge F1.2 East Whittier Creek,"@ Rainier Welding, Redmond",,,,Walter,
18-0730,Brightview,"20004 91st Place South, Kent",CNST-2172667,Polygon Northwest,(425) 295-5989,Walter,
18-0641,Brix Condominiums,"530 Broadway Avenue E, Seattle",6589134,"Charter Construction, Inc.",(206) 769-2522,Isaac,
17-0850,Browns Point Elementary School,"1526 51st Street NE, Tacoma",see below,Skanska USA Commercial,(206) 418-9660,Walter,
18-0964,Building 431 HBI 860101,",",,"Hayward Baker, Inc.",206-979-5931,Jeff,
